#Sequential:
N_FILES:   100 | BATCH:  0 | TIME:        801 ms
N_FILES:   100 | BATCH:  1 | TIME:        681 ms
N_FILES:   100 | BATCH:  2 | TIME:        728 ms
N_FILES:   100 | BATCH:  3 | TIME:        775 ms
N_FILES:   100 | BATCH:  4 | TIME:        766 ms

N_FILES:   200 | BATCH:  0 | TIME:       1518 ms
N_FILES:   200 | BATCH:  1 | TIME:       1544 ms
N_FILES:   200 | BATCH:  2 | TIME:       1501 ms
N_FILES:   200 | BATCH:  3 | TIME:       1513 ms
N_FILES:   200 | BATCH:  4 | TIME:       1479 ms

N_FILES:   300 | BATCH:  0 | TIME:       2266 ms
N_FILES:   300 | BATCH:  1 | TIME:       2217 ms
N_FILES:   300 | BATCH:  2 | TIME:       2225 ms
N_FILES:   300 | BATCH:  3 | TIME:       2191 ms
N_FILES:   300 | BATCH:  4 | TIME:       2203 ms

N_FILES:   400 | BATCH:  0 | TIME:       3006 ms
N_FILES:   400 | BATCH:  1 | TIME:       3002 ms
N_FILES:   400 | BATCH:  2 | TIME:       2920 ms
N_FILES:   400 | BATCH:  3 | TIME:       2870 ms
N_FILES:   400 | BATCH:  4 | TIME:       2896 ms

N_FILES:   500 | BATCH:  0 | TIME:       3988 ms
N_FILES:   500 | BATCH:  1 | TIME:       3747 ms
N_FILES:   500 | BATCH:  2 | TIME:       3828 ms
N_FILES:   500 | BATCH:  3 | TIME:       3746 ms
N_FILES:   500 | BATCH:  4 | TIME:       3784 ms

N_FILES:   600 | BATCH:  0 | TIME:       4392 ms
N_FILES:   600 | BATCH:  1 | TIME:       4596 ms
N_FILES:   600 | BATCH:  2 | TIME:       4692 ms
N_FILES:   600 | BATCH:  3 | TIME:       4664 ms
N_FILES:   600 | BATCH:  4 | TIME:       4554 ms

N_FILES:   700 | BATCH:  0 | TIME:       5265 ms
N_FILES:   700 | BATCH:  1 | TIME:       5311 ms
N_FILES:   700 | BATCH:  2 | TIME:       5366 ms
N_FILES:   700 | BATCH:  3 | TIME:       5163 ms
N_FILES:   700 | BATCH:  4 | TIME:       5290 ms

N_FILES:   800 | BATCH:  0 | TIME:       6017 ms
N_FILES:   800 | BATCH:  1 | TIME:       6076 ms
N_FILES:   800 | BATCH:  2 | TIME:       5896 ms
N_FILES:   800 | BATCH:  3 | TIME:       5970 ms
N_FILES:   800 | BATCH:  4 | TIME:       5973 ms

N_FILES:   900 | BATCH:  0 | TIME:       6789 ms
N_FILES:   900 | BATCH:  1 | TIME:       6924 ms
N_FILES:   900 | BATCH:  2 | TIME:       6782 ms
N_FILES:   900 | BATCH:  3 | TIME:       6876 ms
N_FILES:   900 | BATCH:  4 | TIME:       6996 ms

N_FILES:  1000 | BATCH:  0 | TIME:       8027 ms
N_FILES:  1000 | BATCH:  1 | TIME:       7538 ms
N_FILES:  1000 | BATCH:  2 | TIME:       7735 ms
N_FILES:  1000 | BATCH:  3 | TIME:       7592 ms
N_FILES:  1000 | BATCH:  4 | TIME:       7573 ms

#Parallel - CNC 2 Threads
N_FILES:   100 | BATCH:  0 | TIME:        387 ms
N_FILES:   100 | BATCH:  1 | TIME:        341 ms
N_FILES:   100 | BATCH:  2 | TIME:        371 ms
N_FILES:   100 | BATCH:  3 | TIME:        393 ms
N_FILES:   100 | BATCH:  4 | TIME:        391 ms

N_FILES:   200 | BATCH:  0 | TIME:        781 ms
N_FILES:   200 | BATCH:  1 | TIME:        778 ms
N_FILES:   200 | BATCH:  2 | TIME:        759 ms
N_FILES:   200 | BATCH:  3 | TIME:        763 ms
N_FILES:   200 | BATCH:  4 | TIME:        749 ms

N_FILES:   300 | BATCH:  0 | TIME:       1156 ms
N_FILES:   300 | BATCH:  1 | TIME:       1155 ms
N_FILES:   300 | BATCH:  2 | TIME:       1123 ms
N_FILES:   300 | BATCH:  3 | TIME:       1111 ms
N_FILES:   300 | BATCH:  4 | TIME:       1117 ms

N_FILES:   400 | BATCH:  0 | TIME:       1522 ms
N_FILES:   400 | BATCH:  1 | TIME:       1512 ms
N_FILES:   400 | BATCH:  2 | TIME:       1479 ms
N_FILES:   400 | BATCH:  3 | TIME:       1444 ms
N_FILES:   400 | BATCH:  4 | TIME:       1473 ms

N_FILES:   500 | BATCH:  0 | TIME:       1958 ms
N_FILES:   500 | BATCH:  1 | TIME:       1886 ms
N_FILES:   500 | BATCH:  2 | TIME:       1942 ms
N_FILES:   500 | BATCH:  3 | TIME:       1899 ms
N_FILES:   500 | BATCH:  4 | TIME:       1913 ms

N_FILES:   600 | BATCH:  0 | TIME:       2209 ms
N_FILES:   600 | BATCH:  1 | TIME:       2284 ms
N_FILES:   600 | BATCH:  2 | TIME:       2301 ms
N_FILES:   600 | BATCH:  3 | TIME:       2330 ms
N_FILES:   600 | BATCH:  4 | TIME:       2350 ms

N_FILES:   700 | BATCH:  0 | TIME:       2712 ms
N_FILES:   700 | BATCH:  1 | TIME:       2731 ms
N_FILES:   700 | BATCH:  2 | TIME:       2744 ms
N_FILES:   700 | BATCH:  3 | TIME:       2645 ms
N_FILES:   700 | BATCH:  4 | TIME:       2699 ms

N_FILES:   800 | BATCH:  0 | TIME:       3076 ms
